City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Hueytown,US,2021-04-04 04:00:29,33.4512,-86.9967,51.8,43,1,2.04
97,Kavaratti,IN,2021-04-04 04:04:06,10.5669,72.642,82.42,66,32,9.66
98,Hithadhoo,MV,2021-04-04 04:04:07,-0.6,73.0833,83.62,74,77,15.97
99,Kommunisticheskiy,RU,2021-04-04 04:04:07,61.6789,64.4819,32.23,96,100,7.87
100,Gat,IL,2021-04-04 04:04:07,31.61,34.7642,52.0,77,0,2.86
101,Zyryanka,RU,2021-04-04 04:04:08,65.75,150.85,13.1,72,63,4.52
102,Ribeira Grande,PT,2021-04-04 04:04:08,38.5167,-28.7,60.76,91,100,28.79
103,Huarmey,PE,2021-04-04 04:04:09,-10.0681,-78.1522,71.38,79,51,6.44
104,Norman Wells,CA,2021-04-04 04:04:09,65.282,-126.8329,12.2,57,75,4.61
105,Busselton,AU,2021-04-04 04:04:09,-33.65,115.3333,74.88,59,100,20.96
106,Qaanaaq,GL,2021-04-04 04:04:09,77.484,-69.3632,-21.05,73,19,8.9
107,Isangel,VU,2021-04-04 04:04:10,-19.55,169.2667,80.6,83,90,6.91
108,Nouadhibou,MR,2021-04-04 04:04:10,20.931,-17.0347,66.2,77,100,26.46
109,Mehamn,NO,2021-04-04 04:04:10,71.0357,27.8492,30.31,85,100,16.75
110,Laguna,US,2021-04-04 04:04:11,38.421,-121.4238,55.0,62,1,12.66
111,Tilichiki,RU,2021-04-04 04:04:11,60.4667,166.1,10.15,76,35,8.19
112,Sao Filipe,CV,2021-04-04 04:04:11,14.8961,-24.4956,73.87,70,100,9.35
113,Fenelon Falls,CA,2021-04-04 04:04:12,44.5334,-78.7496,35.6,87,95,6.91
114,Kabinda,CD,2021-04-04 04:04:12,-6.1333,24.4833,66.07,93,92,2.1
115,Pankrushikha,RU,2021-04-04 04:04:12,53.8319,80.3406,30.15,82,5,5.82
116,Peleduy,RU,2021-04-04 04:04:13,59.6289,112.7406,26.98,85,100,5.86
117,San Cristobal,VE,2021-04-04 04:04:13,7.7669,-72.225,67.82,83,83,1.43
118,Clyde River,CA,2021-04-04 04:01:52,70.4692,-68.5914,-11.2,84,75,14.97
119,Avarua,CK,2021-04-04 04:04:13,-21.2078,-159.775,82.4,74,20,13.8
120,Lethem,GY,2021-04-04 04:04:14,3.3803,-59.7968,78.35,79,100,10.29
121,Guiratinga,BR,2021-04-04 04:04:14,-16.3494,-53.7583,73.02,81,66,2.3
122,Redmond,US,2021-04-04 04:00:12,47.674,-122.1215,52.0,83,100,3.6
123,Cape Town,ZA,2021-04-04 04:01:35,-33.9258,18.4232,64.99,94,75,5.75
124,Floriano,BR,2021-04-04 04:04:14,-6.7669,-43.0225,77.2,73,57,0.98
125,Graham,US,2021-04-04 04:04:15,47.0529,-122.2943,55.4,54,90,3.44
126,Amboasary,MG,2021-04-04 04:04:15,-25.0333,46.3833,71.6,94,40,2.33
127,Bathsheba,BB,2021-04-04 04:04:15,13.2167,-59.5167,78.8,61,40,21.85
128,Bethel,US,2021-04-04 04:01:09,41.3712,-73.414,35.01,55,1,4.61
129,Vilaka,LV,2021-04-04 04:04:16,57.1846,27.6722,29.7,89,55,6.6
130,Prince Rupert,CA,2021-04-04 04:03:04,54.3161,-130.3201,41.0,75,20,9.22
131,Lahij,YE,2021-04-04 04:04:16,13.1667,44.5833,74.64,45,61,1.99
132,Harwich,GB,2021-04-04 04:00:53,51.9419,1.2844,42.01,68,62,4.0
133,Hasaki,JP,2021-04-04 04:02:41,35.7333,140.8333,73.0,53,75,14.97
134,Saldanha,ZA,2021-04-04 04:04:16,-33.0117,17.9442,64.4,88,0,8.05
135,Porto Nacional,BR,2021-04-04 04:04:17,-10.7081,-48.4172,75.2,94,20,4.61
136,Alofi,NU,2021-04-04 04:04:17,-19.0595,-169.9187,84.2,74,25,6.91
137,Biltine,TD,2021-04-04 04:04:17,14.5333,20.9167,78.31,11,100,20.49
138,Sydney,AU,2021-04-04 03:59:58,-33.8679,151.2073,82.99,51,0,9.22
139,Rivadavia,AR,2021-04-04 04:04:18,-33.1905,-68.4608,69.8,68,20,2.3
140,Kailua,US,2021-04-04 04:04:18,21.4022,-157.7394,75.2,60,20,19.57
141,Cabo San Lucas,MX,2021-04-04 04:00:02,22.8909,-109.9124,80.6,38,1,8.05
142,Longyearbyen,SJ,2021-04-04 04:01:36,78.2186,15.6401,24.8,86,90,33.38
143,Dikson,RU,2021-04-04 04:04:19,73.5069,80.5464,-6.95,78,98,3.98
144,Puerto Ayora,EC,2021-04-04 04:04:19,-0.7393,-90.3518,75.99,95,69,4.0
145,George Town,MY,2021-04-04 04:02:04,5.4112,100.3354,84.2,79,20,4.61
146,Port Hawkesbury,CA,2021-04-04 04:04:19,45.6169,-61.3485,30.99,93,90,9.22
147,Zhoucheng,CN,2021-04-04 04:04:20,35.9122,116.3117,62.11,18,0,7.65
148,Urumqi,CN,2021-04-04 04:04:20,43.801,87.6005,44.6,53,0,4.47
149,Kiruna,SE,2021-04-04 04:04:20,67.8557,20.2251,30.2,80,90,12.66
150,Malinyi,TZ,2021-04-04 04:04:21,-8.9333,36.1333,70.45,98,97,1.25
151,Altay,CN,2021-04-04 04:04:21,47.8667,88.1167,45.86,42,20,2.01
152,Sola,VU,2021-04-04 04:04:21,-13.8833,167.55,84.2,89,90,4.61
153,Kemijarvi,FI,2021-04-04 04:04:22,66.7131,27.4306,31.14,97,100,8.25
154,Morant Bay,JM,2021-04-04 04:04:22,17.8815,-76.4093,77.0,88,75,6.91
155,Pisco,PE,2021-04-04 04:04:22,-13.7,-76.2167,73.4,78,0,3.44
156,Sabang,ID,2021-04-04 04:04:22,5.8933,95.3214,83.03,71,100,17.45
157,Clermont,FR,2021-04-04 04:04:23,49.5,2.4167,35.6,87,0,8.05
158,Busca,IT,2021-04-04 04:04:23,44.5181,7.4743,50.0,66,90,4.61
159,Kurumkan,RU,2021-04-04 04:04:23,54.3,110.3,38.82,64,80,8.63
160,Roanoke Rapids,US,2021-04-04 04:01:33,36.4615,-77.6542,39.99,100,1,6.08
161,Muros,ES,2021-04-04 04:04:24,42.7762,-9.0603,51.01,61,0,10.27
162,Sydney Mines,CA,2021-04-04 04:04:24,46.2367,-60.2177,37.0,100,90,8.05
163,Cap Malheureux,MU,2021-04-04 04:04:24,-19.9842,57.6142,82.99,75,13,8.01
164,East London,ZA,2021-04-04 04:04:25,-33.0153,27.9116,57.2,88,0,2.3
165,Aleksandrovsk-Sakhalinskiy,RU,2021-04-04 04:04:25,50.8975,142.1561,31.23,69,48,16.44
166,Barrow,US,2021-04-04 04:04:25,71.2906,-156.7887,-9.4,70,1,8.05
167,Port-Gentil,GA,2021-04-04 04:04:26,-0.7193,8.7815,80.37,81,100,10.8
168,Erenhot,CN,2021-04-04 04:04:26,43.6475,111.9767,49.35,17,65,9.33
169,Tabou,CI,2021-04-04 04:04:26,4.423,-7.3528,78.28,90,49,4.76
